Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     19.40     0.00       99     0.00     0.01  create_merchandise
  0.00     19.40     0.00       99     0.00     0.00  entry_create
  0.00     19.40     0.00       99     0.00     0.00  ioopm_ask_existing_inventory_merch
  0.00     19.40     0.00       99     0.00     0.01  ioopm_ask_new_inventory_merch
  0.00     19.40     0.00       99     0.00     0.00  ioopm_hash_table_insert
  0.00     19.40     0.00       99     0.00     0.14  ioopm_hash_table_keys
  0.00     19.40     0.00       99     0.00     0.01  ioopm_inventory_add_merchandise
  0.00     19.40     0.00       99     0.00     0.14  ioopm_inventory_get_merchandise_list
  0.00     19.40     0.00       99     0.00     0.00  ioopm_linked_list_is_empty
  0.00     19.40     0.00       99     0.00     0.00  is_new_inv_merch
  0.00     19.40     0.00       52     0.00     0.00  ioopm_linked_list_save_to_file
  0.00     19.40     0.00       51     0.00     0.18  TUI_inventory_replenish_stock
  0.00     19.40     0.00       51     0.00     0.00  ioopm_ask_new_shelf
  0.00     19.40     0.00       51     0.00     0.00  ioopm_ask_question_u_int
  0.00     19.40     0.00       51     0.00     0.00  ioopm_hash_table_is_empty
  0.00     19.40     0.00       51     0.00     0.02  ioopm_inventory_replenish_new_shelf_stock
  0.00     19.40     0.00       51     0.00     0.00  ioopm_linked_list_contains
  0.00     19.40     0.00       51     0.00     0.00  is_new_shelf
  0.00     19.40     0.00       51     0.00     0.00  save_merch_to_file
  0.00     19.40     0.00       51     0.00     0.00  save_storage_locs_to_file
  0.00     19.40     0.00       48     0.00     0.15  TUI_inventory_remove_merch
  0.00     19.40     0.00       48     0.00     0.00  ioopm_hash_table_remove
  0.00     19.40     0.00       48     0.00     0.00  ioopm_inventory_remove_merchandise
  0.00     19.40     0.00       32     0.00     0.00  page_delete
  0.00     19.40     0.00       32     0.00     0.00  page_init
  0.00     19.40     0.00        1     0.00     0.00  ask_question_int
  0.00     19.40     0.00        1     0.00     0.00  destroy_carts
  0.00     19.40     0.00        1     0.00    19.31  event_loop
  0.00     19.40     0.00        1     0.00     0.00  get_password
  0.00     19.40     0.00        1     0.00     0.00  h_delete
  0.00     19.40     0.00        1     0.00     0.00  h_delete_internal
  0.00     19.40     0.00        1     0.00     0.00  h_init
  0.00     19.40     0.00        1     0.00     0.00  h_init_internal
  0.00     19.40     0.00        1     0.00     0.01  ioopm_ask_admin_access
  0.00     19.40     0.00        1     0.00     0.08  ioopm_hash_table_create_spec
  0.00     19.40     0.00        1     0.00     0.00  ioopm_hash_table_save_to_file
  0.00     19.40     0.00        1     0.00     0.08  ioopm_inventory_create
  0.00     19.40     0.00        1     0.00     0.08  ioopm_inventory_load
  0.00     19.40     0.00        1     0.00     0.00  ioopm_inventory_save
  0.00     19.40     0.00        1     0.00     0.00  ioopm_linked_list_size
  0.00     19.40     0.00        1     0.00     0.00  is_number_
  0.00     19.40     0.00        1     0.00     0.07  set_NO_buckets

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.05% of 19.40 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   19.40                 main [1]
                0.00   19.31       1/1           event_loop [4]
                0.00    0.08       1/1           ioopm_inventory_load [51]
                0.00    0.00       1/1           destroy_carts [72]
                0.00    0.00       1/201         ioopm_linked_list_create [28]
                0.00    0.00       1/1           h_init [124]
                0.00    0.00       1/1           ioopm_inventory_save [127]
                0.00    0.00       1/1           h_delete [122]
-----------------------------------------------
                0.00    3.11      75/467         h_alloc_data [17]
                0.00   16.24     392/467         h_alloc_struct [5]
[2]     99.7    0.00   19.35     467         h_gc [2]
                0.00   19.31     467/467         move [3]
                0.00    0.03     467/467         get_valid_ptrs [59]
                0.00    0.00     934/934         h_used [73]
-----------------------------------------------
                0.00   19.31     467/467         h_gc [2]
[3]     99.6    0.00   19.31     467         move [3]
                1.75   14.08    9287/9287        reset_all_been_visited [6]
                0.34    2.98    9287/9287        do_move [16]
                0.16    0.00    2365/2365        make_passive [48]
                0.00    0.00   54248/22906112     is_ptr_to_page [21]
                0.00    0.00     467/467         get_passive_pages [77]
                0.00    0.00     467/467         get_active_pages [76]
-----------------------------------------------
                0.00   19.31       1/1           main [1]
[4]     99.5    0.00   19.31       1         event_loop [4]
                0.00    9.18      51/51          TUI_inventory_replenish_stock [12]
                0.00    7.41      48/48          TUI_inventory_remove_merch [14]
                0.00    2.02      99/99          TUI_inventory_add_merch [20]
                0.00    0.64     199/199         ioopm_ask_menu [30]
                0.00    0.05      15/3939        ioopm_linked_list_append [9]
                0.00    0.01       1/1           ioopm_ask_admin_access [71]
                0.00    0.00       1/201         ioopm_linked_list_create [28]
-----------------------------------------------
                0.00    0.00       1/4511        ioopm_hash_table_create_spec [52]
                0.00    0.00       1/4511        ioopm_inventory_create [50]
                0.00    0.07      20/4511        set_NO_buckets [54]
                0.00    0.18      51/4511        ioopm_inventory_replenish_new_shelf_stock [27]
                0.00    0.36      99/4511        entry_create [38]
                0.00    0.36      99/4511        create_merchandise [29]
                0.00    0.36     100/4511        ioopm_list_iterator [37]
                0.00    0.73     201/4511        ioopm_linked_list_create [28]
                0.00   14.22    3939/4511        create_link [8]
[5]     84.0    0.00   16.29    4511         h_alloc_struct [5]
                0.00   16.24     392/467         h_gc [2]
                0.01    0.02    4511/4511        h_alloc_struct_internal [62]
                0.01    0.01    4511/6034        used_space [64]
                0.00    0.00    4511/4511        handle_input [87]
                0.00    0.00    4511/4511        get_size_of_struct [86]
                0.00    0.00     392/467         heap_has_room [98]
-----------------------------------------------
                             2718340             reset_all_been_visited [6]
                1.75   14.08    9287/9287        move [3]
[6]     81.6    1.75   14.08    9287+2718340 reset_all_been_visited [6]
                7.01    0.56 1591009/1771990     get_format_vector [13]
                2.69    1.68 3513318/3953463     is_valid_ptr [15]
                0.41    0.55 2727627/4918747     is_format_vector [22]
                0.43    0.13 2727627/2727627     reset_been_visited [33]
                0.12    0.23 1136618/1310570     is_data_size [36]
                0.19    0.08 1591009/1942753     is_been_visited [40]
                             2718340             reset_all_been_visited [6]
-----------------------------------------------
                0.00    7.25      48/99          TUI_inventory_remove_merch [14]
                0.00    7.70      51/99          TUI_inventory_replenish_stock [12]
[7]     77.1    0.00   14.96      99         TUI_inventory_list_merch [7]
                0.00   14.16      99/99          ioopm_inventory_get_merchandise_list [11]
                0.00    0.44     138/189         ioopm_ask_question_string [31]
                0.00    0.36      99/100         ioopm_list_iterator [37]
                0.00    0.00    3822/3822        ioopm_iterator_current [92]
                0.00    0.00    3822/3873        ioopm_hash_table_lookup [91]
                0.00    0.00    3822/3822        ioopm_iterator_has_next [93]
                0.00    0.00    3723/3723        ioopm_iterator_next [94]
                0.00    0.00      99/99          ioopm_linked_list_is_empty [109]
-----------------------------------------------
                0.00   14.22    3939/3939        ioopm_linked_list_append [9]
[8]     73.3    0.00   14.22    3939         create_link [8]
                0.00   14.22    3939/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.05      15/3939        event_loop [4]
                0.00    0.37     102/3939        ioopm_inventory_replenish_new_shelf_stock [27]
                0.00   13.80    3822/3939        ioopm_hash_table_keys [10]
[9]     73.3    0.00   14.22    3939         ioopm_linked_list_append [9]
                0.00   14.22    3939/3939        create_link [8]
-----------------------------------------------
                0.00   14.16      99/99          ioopm_inventory_get_merchandise_list [11]
[10]    73.0    0.00   14.16      99         ioopm_hash_table_keys [10]
                0.00   13.80    3822/3939        ioopm_linked_list_append [9]
                0.00    0.36      99/201         ioopm_linked_list_create [28]
                0.00    0.00    1881/6754        get_sentinel_bucket [84]
-----------------------------------------------
                0.00   14.16      99/99          TUI_inventory_list_merch [7]
[11]    73.0    0.00   14.16      99         ioopm_inventory_get_merchandise_list [11]
                0.00   14.16      99/99          ioopm_hash_table_keys [10]
-----------------------------------------------
                0.00    9.18      51/51          event_loop [4]
[12]    47.3    0.00    9.18      51         TUI_inventory_replenish_stock [12]
                0.00    7.70      51/99          TUI_inventory_list_merch [7]
                0.00    0.82      51/51          ioopm_inventory_replenish_new_shelf_stock [27]
                0.00    0.16      51/51          ioopm_ask_new_shelf [46]
                0.00    0.16      51/99          ioopm_ask_existing_inventory_merch [41]
                0.00    0.16      51/189         ioopm_ask_question_string [31]
                0.00    0.16      51/51          ioopm_ask_question_u_int [47]
                0.00    0.00      51/51          ioopm_hash_table_is_empty [112]
-----------------------------------------------
                0.80    0.06  180981/1771990     do_move [16]
                7.01    0.56 1591009/1771990     reset_all_been_visited [6]
[13]    43.5    7.81    0.62 1771990         get_format_vector [13]
                0.27    0.36 1771990/4918747     is_format_vector [22]
-----------------------------------------------
                0.00    7.41      48/48          event_loop [4]
[14]    38.2    0.00    7.41      48         TUI_inventory_remove_merch [14]
                0.00    7.25      48/99          TUI_inventory_list_merch [7]
                0.00    0.15      48/99          ioopm_ask_existing_inventory_merch [41]
                0.00    0.00      48/48          ioopm_inventory_remove_merchandise [118]
-----------------------------------------------
                0.01    0.00    9287/3953463     get_valid_ptrs [59]
                0.33    0.21  430858/3953463     do_move [16]
                2.69    1.68 3513318/3953463     reset_all_been_visited [6]
[15]    25.4    3.03    1.89 3953463         is_valid_ptr [15]
                1.71    0.18 21863026/22906112     is_ptr_to_page [21]
-----------------------------------------------
