Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.00     0.00       51     0.00     0.11  TUI_inventory_replenish_stock
  0.00     12.00     0.00       51     0.00     0.00  ioopm_ask_new_shelf
  0.00     12.00     0.00       51     0.00     0.00  ioopm_ask_question_u_int
  0.00     12.00     0.00       51     0.00     0.00  ioopm_hash_table_is_empty
  0.00     12.00     0.00       51     0.00     0.01  ioopm_inventory_replenish_new_shelf_stock
  0.00     12.00     0.00       51     0.00     0.00  ioopm_linked_list_contains
  0.00     12.00     0.00       51     0.00     0.00  is_new_shelf
  0.00     12.00     0.00       51     0.00     0.00  save_merch_to_file
  0.00     12.00     0.00       51     0.00     0.00  save_storage_locs_to_file
  0.00     12.00     0.00       48     0.00     0.10  TUI_inventory_remove_merch
  0.00     12.00     0.00       48     0.00     0.00  ioopm_hash_table_remove
  0.00     12.00     0.00       48     0.00     0.00  ioopm_inventory_remove_merchandise
  0.00     12.00     0.00       32     0.00     0.00  page_delete
  0.00     12.00     0.00       32     0.00     0.00  page_init
  0.00     12.00     0.00        1     0.00     0.00  ask_question_int
  0.00     12.00     0.00        1     0.00     0.00  destroy_carts
  0.00     12.00     0.00        1     0.00    11.94  event_loop
  0.00     12.00     0.00        1     0.00     0.00  get_password
  0.00     12.00     0.00        1     0.00     0.00  h_delete
  0.00     12.00     0.00        1     0.00     0.00  h_delete_internal
  0.00     12.00     0.00        1     0.00     0.00  h_init
  0.00     12.00     0.00        1     0.00     0.00  h_init_internal
  0.00     12.00     0.00        1     0.00     0.00  ioopm_ask_admin_access
  0.00     12.00     0.00        1     0.00     0.05  ioopm_hash_table_create_spec
  0.00     12.00     0.00        1     0.00     0.00  ioopm_hash_table_save_to_file
  0.00     12.00     0.00        1     0.00     0.05  ioopm_inventory_create
  0.00     12.00     0.00        1     0.00     0.05  ioopm_inventory_load
  0.00     12.00     0.00        1     0.00     0.00  ioopm_inventory_save
  0.00     12.00     0.00        1     0.00     0.00  ioopm_linked_list_size
  0.00     12.00     0.00        1     0.00     0.00  is_number_
  0.00     12.00     0.00        1     0.00     0.04  set_NO_buckets

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
