50, 0.00012, 0.00000
100, 0.00031, 0.00001
150, 0.00039, 0.00002
200, 0.00058, 0.00002
250, 0.00082, 0.00002
300, 0.00110, 0.00002
350, 0.00186, 0.00003
400, 0.00213, 0.00004
450, 0.00235, 0.00002
500, 0.00285, 0.00004
550, 0.00478, 0.00004
600, 0.00535, 0.00004
650, 0.00524, 0.00003
700, 0.00549, 0.00005
750, 0.00657, 0.00005
800, 0.00927, 0.00004
850, 0.00734, 0.00006
900, 0.00933, 0.00009
950, 0.01205, 0.00007
1000, 0.01320, 0.00007
1050, 0.01256, 0.00004
1100, 0.01107, 0.00006
1150, 0.01171, 0.00004
1200, 0.01217, 0.00004
1250, 0.01313, 0.00004
1300, 0.01411, 0.00004
1350, 0.01515, 0.00004
1400, 0.01620, 0.00004
1450, 0.01732, 0.00004
1500, 0.01844, 0.00004
1550, 0.01960, 0.00004
1600, 0.02083, 0.00004
1650, 0.02208, 0.00004
1700, 0.02336, 0.00004
1750, 0.02469, 0.00004
1800, 0.02602, 0.00005
1850, 0.02740, 0.00005
1900, 0.02885, 0.00005
1950, 0.03027, 0.00005
2000, 0.03181, 0.00005
2050, 0.03337, 0.00005
2100, 0.03493, 0.00005
2150, 0.03835, 0.00009
2200, 0.04502, 0.00007
2250, 0.04623, 0.00007
2300, 0.04881, 0.00006
2350, 0.04392, 0.00006
2400, 0.04560, 0.00006
2450, 0.04741, 0.00006
2500, 0.04927, 0.00006
2550, 0.05115, 0.00006
2600, 0.05315, 0.00006
2650, 0.05513, 0.00007
2700, 0.06753, 0.00008
2750, 0.06624, 0.00010
2800, 0.06554, 0.00007
2850, 0.06980, 0.00007
2900, 0.07068, 0.00007
2950, 0.07259, 0.00007
3000, 0.07726, 0.00007
3050, 0.08339, 0.00008
3100, 0.08214, 0.00008
3150, 0.08319, 0.00008
3200, 0.09074, 0.00008
3250, 0.08251, 0.00007
3300, 0.08482, 0.00007
3350, 0.08749, 0.00007
3400, 0.08996, 0.00007
3450, 0.10291, 0.00008
3500, 0.10380, 0.00008
3550, 0.09798, 0.00008
3600, 0.10403, 0.00008
3650, 0.10317, 0.00008
3700, 0.10571, 0.00008
3750, 0.11107, 0.00008
3800, 0.11151, 0.00008
3850, 0.11455, 0.00008
3900, 0.11725, 0.00009
3950, 0.12029, 0.00008
4000, 0.12315, 0.00008
4050, 0.12623, 0.00008
4100, 0.12930, 0.00009
4150, 0.13253, 0.00008
4200, 0.13554, 0.00008
4250, 0.13898, 0.00008
4300, 0.14227, 0.00008
4350, 0.14548, 0.00009
4400, 0.14875, 0.00009
4450, 0.15213, 0.00009
4500, 0.15562, 0.00009
4550, 0.15915, 0.00009
4600, 0.16222, 0.00009
4650, 0.16563, 0.00009
4700, 0.16958, 0.00009
4750, 0.17297, 0.00009
4800, 0.17668, 0.00009
4850, 0.18090, 0.00009
4900, 0.18387, 0.00009
4950, 0.18761, 0.00009
5000, 0.19133, 0.00010
